autoID,Territory Name
100001,BCC - Maradana DO
100002,Pettah DO
100003,Negambo DO
100004,Kaduwela DO
100005,Rathmalana DO
100006,Kaluthara
100007,Horana
100008,Avissawella DO
100009,Nugegoda DO
100010,Kadawatha DO
100011,Minuwangoda
100012,Kotadeniyawa
100013,Nittambuwa DO
100014,Bandarawela
100015,Badulla
100016,Hatton
100017,Nuwara Eliya
100018,Gampola
100019,Mawanalla
100020,kandy
100021,Hanguranketha
100022,Matale
100023,Akurana
100024,Monaragala
100025,Dehiattakandiya
100026,Mahiyanganaya
100027,Hunnasgiriya
100028,Ambalangoda
100029,Galle DO
100030,Akuressa
100031,Matara Super
100032,Tangalle
100033,Hakmana
100034,Kahawatta
100035,Balangoda
100036,Middeniya
100037,Rathnapura
100038,Hambanthota
100039,Embilipitiya
100040,Katharagama
100041,Weligama
100042,Anuradhapura 2
100043,Anuradhapura.
100044,Kekirawa
100045,Mihinthale
100046,Dambulla
100047,Redeegama
100048,Kurunegala
100049,Kegalle
100050,Kalpitiya
100051,Madurankuliya
100052,Chillaw
100053,Puttlam
100054,Bingiriya
100055,Hettipola
100056,Maho
100057,Thambuththegama
100058,Narammala
100059,Kuliyapitiya
100060,Akkarepatthu
100061,Pothuwil
100062,Ampara
100063,Chenkalady
100064,Batticaloa
100065,Pollonnaruwa DO
100066,Welikanda
100067,Kinniya
100068,Trinco City
100069,Muthur
100070,Kanthale
100071,Jaffna
100072,Chunakam
100073,Nelliyadi
100074,Killinichi 2
100075,Vavuniya
100076,Mannar
100077,Mullathuve II
100078,Padaviya
