CE_ID,RSM_Code
100001,10001
100002,10001
100003,10001
100004,10001
100005,10002
100006,10002
100007,10002
100008,10002
100009,10003
100010,10003
100011,10003
100013,10003
100014,10004
100015,10004
100016,10004
100017,10004
100019,10004
100020,10004
100022,10004
100023,10004
100025,10004
100028,10005
100029,10005
100030,10005
100031,10005
100032,10005
100034,10005
100038,10005
100040,10005
100046,10006
100047,10006
100050,10007
100053,10007
100055,10007
100056,10007
100060,10008
100061,10008
100063,10008
100065,10008
100068,10008
100071,10009
100072,10009
100074,10009
100075,10009
100076,10009
100077,10009
100080,10001
100081,10001
100083,10001
100084,10002
100088,10003
100089,10003
100094,10004
100095,10004
100096,10004
100097,10004
100099,10004
100101,10004
100102,10004
100167,10003
