Distribution_Code,Area_Code
9814,100001
9811,100002
9818,100003
9806,100004
9807,100005
9809,100006
105763,100007
9803,100008
9802,100009
9805,100010
106160,100011
148286,100012
9820,100013
140045,100014
147543,100015
146048,100016
145940,100017
135361,100018
136080,100019
9822,100020
110573,100021
146212,100022
140066,100023
123614,100024
146438,100025
146239,100026
137835,100027
137718,100028
9823,100029
136119,100030
109242,100031
137742,100032
138721,100033
105333,100034
139929,100035
123785,100036
143778,100037
139295,100038
146187,100039
145824,100040
147350,100041
136334,100042
DMB00001349,100043
DMB00001354,100044
146462,100045
9810,100046
137760,100047
112574,100048
137236,100049
140246,100050
137039,100051
137264,100052
142520,100053
136035,100054
140474,100055
136750,100056
146825,100057
110290,100058
146061,100059
136935,100060
122073,100061
145830,100062
143528,100063
142522,100064
9817,100065
147961,100066
148450,100067
145705,100068
137645,100069
135527,100070
105351,100071
136938,100072
105695,100073
120711,100074
105348,100075
146243,100076
122292,100077
136319,100078
